date,Administratif,Aéronautique,Agriculture,Agro-alimentaire,Animation,Architecture,Artisanat,Assistante de direction,Assurances,Audiovisuel,Audit,Automobile,Autres,Aviation,Banque,Biologie,Call Center,Chimie,Commerce,Communication,Comptabilité,Confection,Consulting,Cosmétique,Cuisine,Décor,Documentation,Droit,Economie,Energie,Enseignement,Finance,Fiscalité,Génie civil,Génie électrique,Gestion,Hydraulique,Immobilier,Import / Export,Industrie électro-mécaniques,Industrie Métalliques,Informatique,Journalisme,Langues,Logistique,Maintenance industrielle,Management,Marketing,Plasturgie,Production,Psychologie,Rédaction,Ressources Humaines,Santé,Sécurité,Sport,Statistiques,Telecommunication,Textile,Tourisme,Traduction,Transport,pib,chomage,Freelance,Secteur privé,Secteur public
01/17,2,0,2,1,0,1,1,5,0,1,2,0,0,0,1,0,6,0,20,4,2,2,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,27,1,1,2,0,0,3,0,0,0,1,2,1,0,0,0,1,0,3,0,2,-4.95,15.33,1,89,0
02/17,11,0,2,4,0,3,0,2,1,0,1,0,9,0,1,0,10,0,44,4,6,1,1,1,1,0,0,0,0,0,5,8,0,8,3,2,1,1,0,6,3,59,0,4,1,1,6,5,0,4,1,1,6,6,2,0,0,2,1,8,0,2,-4.95,15.33,9,218,4
03/17,15,0,0,1,0,4,0,9,0,1,0,0,2,0,0,0,10,0,34,1,6,1,4,1,1,0,0,0,0,0,8,3,0,7,3,1,0,0,2,10,3,89,0,2,1,4,0,6,0,4,0,1,5,4,2,0,0,1,0,3,0,0,-4.95,15.33,2,229,3
04/17,7,0,0,1,0,4,1,7,1,1,1,2,5,1,0,0,5,1,37,2,12,1,0,4,4,1,0,1,0,2,2,4,0,7,2,1,2,1,0,5,0,69,1,1,0,3,3,8,0,6,0,3,2,7,0,0,0,1,1,6,1,1,-4.95,15.33,6,214,3
05/17,20,0,0,2,0,3,0,11,1,1,3,0,8,0,0,0,7,0,41,5,12,0,1,0,3,1,1,0,0,0,4,3,0,6,1,2,0,0,1,8,5,114,0,2,3,5,4,5,1,8,0,0,3,3,1,0,1,0,0,8,0,0,-4.95,15.33,2,273,4
06/17,19,0,2,0,1,3,0,9,0,3,1,1,10,0,1,0,5,0,26,3,7,1,2,4,2,0,0,0,0,0,7,4,1,4,6,2,0,2,1,3,0,83,0,2,1,5,1,5,0,3,0,3,1,5,2,0,1,1,0,11,1,0,-4.95,15.33,4,224,1
07/17,22,0,0,2,0,4,0,5,1,1,0,2,2,0,2,0,5,0,31,4,9,1,0,2,6,1,1,2,0,1,10,5,0,11,4,5,1,1,1,6,1,77,2,1,1,5,0,3,1,1,0,1,1,5,2,0,0,0,1,7,0,2,-4.95,15.33,7,228,2
08/17,17,0,0,2,0,1,0,14,0,0,2,2,10,0,4,0,17,0,32,6,11,0,0,0,1,2,0,1,0,0,5,3,0,5,2,1,0,1,0,5,1,90,0,0,1,2,3,4,1,5,0,1,4,4,0,2,0,4,3,4,0,2,-4.95,15.33,2,255,0
09/17,21,0,0,1,0,2,0,3,1,0,2,1,9,0,1,0,13,0,30,1,9,0,2,3,5,0,0,0,0,0,4,4,0,7,1,1,0,1,1,6,4,67,0,2,2,2,3,3,0,3,0,0,2,0,3,0,1,2,0,4,1,0,-4.95,15.33,3,209,1
10/17,24,1,1,1,1,1,0,14,0,2,0,3,10,1,2,0,9,1,41,3,13,1,0,1,3,0,0,0,0,0,12,6,0,7,1,5,0,0,1,6,1,56,1,3,3,2,1,4,1,0,0,3,2,4,3,1,0,0,2,11,0,0,-4.95,15.33,5,247,1
